Time (s),ESC signal (µs),Thrust (gf)
0,0,0
0,0,0
0.017645,0,0
0.033745,0,0
0.04902,0,0
0.06394,0,0
0.08027,0,0
0.0976,0,0
0.11395,0,0.267907833
0.130235,0,0.267907833
0.150975,0,0.267907833
0.16761,0,0.267907833
0.18401,0,0.267907833
0.201155,0,0.267907833
0.21719,0,0.267907833
0.23304,0,0.267907833
0.2524,0,0.267907833
0.268045,0,0.403433494
0.28298,0,0.403433494
0.299175,0,0.403433494
0.315,0,0.403433494
0.332315,0,0.403433494
0.348295,0,0.403433494
0.364,0,0.403433494
0.38018,0,0.403433494
0.401605,0,0.403433494
0.43818,0,0.3614211
0.454085,0,0.3614211
0.47024,0,0.3614211
0.48757,0,0.3614211
0.504525,0,0.3614211
0.520085,0,0.3614211
0.53603,0,0.3614211
0.553475,0,0.3614211
0.56922,0,0.042795021
0.58542,0,0.042795021
0.60301,0,0.042795021
0.61812,0,0.042795021
0.633285,0,0.042795021
0.65156,0,0.042795021
0.66718,0,0.042795021
0.68201,0,0.042795021
0.69718,0,0.042795021
0.71321,0,-0.088225552
0.73181,0,-0.088225552
0.75027,0,-0.088225552
0.76618,0,-0.088225552
0.78109,0,-0.088225552
0.802595,0,-0.088225552
0.82075,0,-0.088225552
0.8364,0,-0.088225552
0.852155,0,-0.088225552
0.867305,0,-0.154301195
0.882225,0,-0.154301195
0.898755,0,-0.154301195
0.914395,0,-0.154301195
0.93121,0,-0.154301195
0.94684,0,-0.154301195
0.96231,0,-0.154301195
0.9808,0,-0.154301195
0.996875,0,-0.154301195
1.01254,0,0.018207322
1.028445,0,0.018207322
1.044345,0,0.018207322
1.060395,0,0.018207322
1.07945,0,0.018207322
1.094305,0,0.018207322
1.110375,0,0.018207322
1.128505,0,0.018207322
1.146075,0,0.018207322
1.162345,0,0.209686057
1.178905,0,0.209686057
1.194335,0,0.209686057
1.209365,0,0.209686057
1.22445,0,0.209686057
1.24068,0,0.209686057
1.256685,0,0.209686057
1.272505,0,0.209686057
1.28752,0,0.209686057
1.304665,0,0.209686057
1.320975,0,0.304932178
1.33893,0,0.304932178
1.357385,0,0.304932178
1.37289,0,0.304932178
1.3885,0,0.304932178
